index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,samsum,1576784.286954333,1.9428280428983271,1.9428280428983271,11.323699017222449,Emilia is still angry.
1,samsum,1576786.230092773,1.812354669906199,1.812354669906199,116.42312815676449,"Mico wants to go to the village party to meet some hot boys, but Lia is too tired after hiking. Jim jokes that a village boy who doesn't speak English is attractive, and Mico agrees. Jeff and Mico will go to the"
2,samsum,1576788.042868452,1.7004156250040978,1.7004156250040978,43.51877206481308,Michael can't make it today and will call Tom tomorrow to apologize again.
3,samsum,1576789.743566642,2.307342085056007,2.307342085056007,97.0814000450058,"Autumn has sewn a dress and is excited to show it to Israel, who hasn't had time to sew anything yet. Autumn teases Israel about not having priorities in life, comparing herself to Israel who hasn't checked tests in a month."
4,samsum,1576792.051253474,2.443584468914196,2.443584468914196,102.71795519781298,"Brenda and Sandra, former coworkers from a clothes factory, reconnect after 25 years and reminisce about their past, including their time at the factory, their families, and their shared love of music and dancing. They discuss organizing a reunion for"
5,samsum,1576794.49517433,2.8977586841210723,2.8977586841210723,77.3011228393375,"Leah sent Kristi a link to get a 20% discount coupon for an online shop, which includes trainers Kristi needs. In return, Kristi will put Leah's ID on the reference code, allowing Leah to accumulate money for future shopping"
6,samsum,1576797.393245329,3.089455690002069,3.089455690002069,85.12826413115634,"Lisa and Peter discuss their health and fitness goals, with Peter working out regularly at a gym and Lisa considering starting a workout routine. They agree that a healthy diet, sufficient sleep, and regular exercise are all important for maintaining good health."
7,samsum,1576800.483047777,2.893219164805487,2.893219164805487,66.36206559654401,"Petra is extremely sleepy and wants to sleep, while Andy thinks the office is boring because nobody is working. Ezgi is working, but Petra is jokingly saying she's sleeping with her eyes open."
8,samsum,1576803.376558188,2.6019611568190157,2.6019611568190157,77.24942375609065,"People are photoshopping Timothée Chalamet into artworks, which is hilarious, and he looks like a typical young man from a 19th-century portrait, as if he read Rimbaud's poems and drank absinthe daily."
9,samsum,1576805.978805711,1.7518869610503316,1.7518869610503316,109.02529914686235,"Adele got a new 4-month-old pup, a biscuit lab named Chewy, and the other pets are adjusting to him, with the cats keeping their distance and the other dogs mothering him and wanting to play."
10,samsum,1576807.730953007,2.2341322030406445,2.2341322030406445,75.64458350763294,"Cara wanted to visit Celine, but Celine is not at home. Celine offers to drop by in the evening if Cara doesn't mind, and Cara agrees to call her if she decides to come."
11,samsum,1576809.965372216,1.9471376249566674,1.9471376249566674,71.3868389262384,"Janice has watched almost all of the top 50 best films of 2018, including Deadpool 2 and Avengers, which her boyfriend forced her to watch."
12,samsum,1576811.912800367,1.858330321032554,1.858330321032554,118.38584212399884,"Luke and Martial plan to attend team selection tomorrow despite their injuries, and will inform Jose and the coach that they are ready to play. They will meet up at Carrington early and go to the coach's office together."
13,samsum,1576813.771423274,2.803597504971549,2.803597504971549,76.33050023069259,"Sally and Rita are excited about Borns' new album, with ""God Save Our Young Blood"" and ""Faded Heart"" being their favorite tracks. They're also looking forward to Florence's new single, which is coming out tomorrow."
14,samsum,1576816.575314726,1.8250758009962738,1.8250758009962738,64.10692637321253,"Martin won two cinema tickets by writing a short review on Facebook, and he's going to see the new film with Redford."
