index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text,ROUGEL
0,samsum,1575999.944045699,1.7798240729607642,1.7798240729607642,12.360772243855916,Emilia is still angry.,1.0
1,samsum,1576001.72418214,1.5239284988492727,1.5239284988492727,108.92899511056298,"Mico wants to go to the village party to meet some men, but Lia is too tired after hiking. Mico and Jeff will go together, with Mico possibly driving so he can drink.",0.5217391304347826
2,samsum,1576003.248531808,1.694194438168779,1.694194438168779,43.678575689331815,Michael can't make it today and will call Tom tomorrow to apologize again.,0.4137931034482759
3,samsum,1576004.943045043,2.302805774146691,2.302805774146691,97.2726412773581,"Autumn has sewn a dress and is excited to show it to Israel, who hasn't had time to sew anything yet. Autumn teases Israel about not having priorities in life, comparing herself to Israel who hasn't checked tests in a month.",0.6428571428571429
4,samsum,1576007.246170914,2.4498876300640404,2.4498876300640404,100.41276872505762,"Brenda and Sandra, former coworkers from a clothes factory, reconnect after 25 years. They reminisce about their past, including their time at the factory, their husbands, and their shared love of dancing. They discuss their families, with Sandra",0.6249999999999999
5,samsum,1576009.6963875,3.0304841878823936,3.0304841878823936,72.92564035928127,"Leah sent Kristi a link for a 20% discount coupon on an online shop, which includes trainers Kristi needs. In return, Kristi will put Leah's ID on the reference code, allowing Leah to accumulate money for future shopping.",0.6067415730337079
6,samsum,1576012.727223035,3.1473475189413875,3.1473475189413875,82.92697213423305,"Lisa and Peter discuss their health and fitness goals. Peter has been working out to improve his health, doing weights and running on the treadmill at the gym near their office. Lisa is also considering working out and eating better to stay in shape. They agree",0.43010752688172044
7,samsum,1576015.87486959,2.754038874991238,2.754038874991238,58.82269908064221,"Petra is extremely sleepy and wants to sleep. Andy agrees that the day is boring and nobody is working at the office. Ezgi is working, but Petra and Andy are not.",1.0
8,samsum,1576018.6292148,2.7388442400842905,2.7388442400842905,80.32585306612008,"People are photoshopping Timothée Chalamet into artworks, which is hilarious. Dominic thinks it looks good and that Chalamet resembles a typical young man from a 19th-century portrait, who would have read Rimbaud's poems",0.8484848484848485
9,samsum,1576021.368349867,1.7509166181553155,1.7509166181553155,111.3702377246513,"Adele got a new 4-month-old puppy, a pup biscuit lab named Chewy, and the other dogs are adjusting well, with the cats keeping their distance and the other dogs mothering him and wanting to play.",0.5925925925925926
10,samsum,1576023.119559231,2.238688206998632,2.238688206998632,75.93732770313554,"Cara wanted to visit Celine, but Celine is not at home. Celine offered to drop by in the evening if Cara doesn't mind, and Cara agreed to call her if she decides to come.",0.8135593220338984
11,samsum,1576025.358537364,1.9088059938512745,1.9088059938512745,72.82039162060084,"Janice has watched almost all of the Top 50 Best Films of 2018, including Deadpool 2 and Avengers, which her boyfriend forced her to watch.",1.0
12,samsum,1576027.267623024,1.3264978399965912,1.3264978399965912,114.5874462942138,"Luke and Martial are planning to attend team selection tomorrow despite their injuries, and will inform Jose in the morning that they are ready to play.",0.7384615384615384
13,samsum,1576028.594450362,2.7196652800776064,2.7196652800776064,76.47999977190747,"Sally and Rita are excited about Borns' new album, with ""God Save Our Young Blood"" and ""Faded Heart"" being their favorites. They're also looking forward to Florence's new single, which is coming out tomorrow.",0.9589041095890412
14,samsum,1576031.314407159,2.129805504810065,2.129805504810065,78.88044219088547,"Martin won two cinema tickets by writing a short review on Facebook for a movie magazine. He won tickets to see a new film with Redford, which he thinks is pretty cool.",0.5483870967741935
15,samsum,1576033.44450062,1.7643996949773282,1.7643996949773282,71.97915549494124,"Max is working on a music project and shares it with Jim, who promises to listen to it when he gets home and give his feedback.",0.8571428571428572
16,samsum,1576035.209248413,1.4137228089384737,1.4137228089384737,96.199905059266,Wanda wants to have a party and needs Gina's help. Gina will try to borrow her father's car to go grocery shopping with Wanda on Friday.,1.0
